ID;NAME;PREFIXES AS URL;INDEGREE;TOTAL KNOWN PAGES;CRAWLED PAGES;STATUS;LAST MODIFICATION DATE
68;Cbnmed.fr;http://cbnmed.fr http://www.cbnmed.fr https://cbnmed.fr https://www.cbnmed.fr;1;1;0;DISCOVERED;2021-10-21T08:17:36.505Z
69;Risque-Prevention-Incendie.fr;http://risque-prevention-incendie.fr http://www.risque-prevention-incendie.fr https://risque-prevention-incendie.fr https://www.risque-prevention-incendie.fr;1;1;0;DISCOVERED;2021-10-21T08:18:07.054Z
70;Superdoc.com;http://superdoc.com http://www.superdoc.com https://superdoc.com https://www.superdoc.com;1;1;0;DISCOVERED;2021-10-21T08:18:30.959Z
71;Iucncongress2020.org;http://iucncongress2020.org http://www.iucncongress2020.org https://iucncongress2020.org https://www.iucncongress2020.org;1;1;0;DISCOVERED;2021-10-21T08:18:49.212Z
72;Parc-Pyrenees.com;http://parc-pyrenees.com http://www.parc-pyrenees.com https://parc-pyrenees.com https://www.parc-pyrenees.com;1;1;0;DISCOVERED;2021-10-21T08:19:02.660Z
73;Forets-Champagne-Bourgogne.fr;http://forets-champagne-bourgogne.fr http://www.forets-champagne-bourgogne.fr https://forets-champagne-bourgogne.fr https://www.forets-champagne-bourgogne.fr;1;1;0;DISCOVERED;2021-10-21T08:19:02.660Z
74;Ecologique-Solidaire.gouv.fr;http://ecologique-solidaire.gouv.fr http://www.ecologique-solidaire.gouv.fr https://ecologique-solidaire.gouv.fr https://www.ecologique-solidaire.gouv.fr;1;1;0;DISCOVERED;2021-10-21T08:19:13.315Z
75;Adeo-Web.fr;http://adeo-web.fr http://www.adeo-web.fr https://adeo-web.fr https://www.adeo-web.fr;1;1;0;DISCOVERED;2021-10-21T08:19:33.015Z
76;Facebook.com /espritparcnational;http://facebook.com/espritparcnational http://www.facebook.com/espritparcnational https://facebook.com/espritparcnational https://www.facebook.com/espritparcnational;1;1;0;DISCOVERED;2021-10-21T08:19:41.268Z
77;Provence-Alpes-Cotedazur.com;http://provence-alpes-cotedazur.com http://www.provence-alpes-cotedazur.com https://provence-alpes-cotedazur.com https://www.provence-alpes-cotedazur.com;1;1;0;DISCOVERED;2021-10-21T08:19:41.268Z
80;Protectedplanet.net;http://protectedplanet.net http://www.protectedplanet.net https://protectedplanet.net https://www.protectedplanet.net;1;1;0;DISCOVERED;2021-10-21T08:19:57.420Z
78;Initiative-Pim.org;http://initiative-pim.org http://www.initiative-pim.org https://initiative-pim.org https://www.initiative-pim.org;1;1;0;DISCOVERED;2021-10-21T08:19:57.420Z
